国家,value
不丹,0
东帝汶,0
中国,0
中非,0
丹麦,0
乌克兰,0
乌兹别克斯坦,0
乌干达,0
乌拉圭,0
乍得,0
也门,0
亚美尼亚,0
以色列,0
伊拉克,0
伊朗,0
伯利兹,0
佛得角,0
俄罗斯,0
保加利亚,0
克罗地亚,0
关岛,0
冈比亚,0
冰岛,0
几内亚,0
几内亚比绍,0
列支敦士登,0
刚果（布）,0
刚果（金）,0
利比亚,0
利比里亚,0
加拿大,0
加纳,0
加蓬,0
匈牙利,0
北塞浦路斯,0
北马其顿,0
北马里亚纳群岛,0
南乔治亚和南桑威奇群岛,0
南极洲,0
南苏丹,0
南非,0
博茨瓦纳,0
卡塔尔,0
卢旺达,0
卢森堡,0
印度,0
印度尼西亚,0
危地马拉,0
厄瓜多尔,0
厄立特里亚,0
叙利亚,0
古巴,0
吉尔吉斯斯坦,0
吉布提,0
哈萨克斯坦,0
哥伦比亚,0
哥斯达黎加,0
喀麦隆,0
图瓦卢,0
土库曼斯坦,0
土耳其,0
圣卢西亚,0
圣基茨和尼维斯,0
圣多美和普林西比,0
圣巴泰勒米,0
圣文森特和格林纳丁斯,0
圣皮埃尔和密克隆群岛,0
圣诞岛,0
圣赫勒拿,0
圣马力诺,0
圭亚那,0
坦桑尼亚,0
埃及,0
埃塞俄比亚,0
基里巴斯,0
塔吉克斯坦,0
塞内加尔,0
塞尔维亚,0
塞拉利昂,0
塞浦路斯,0
塞舌尔,0
墨西哥,0
多哥,0
多米尼克,0
多米尼加,0
奥兰群岛,0
奥地利,0
委内瑞拉,0
孟加拉国,0
安哥拉,0
安圭拉,0
安提瓜和巴布达,0
安道尔,0
密克罗尼西亚,0
尼加拉瓜,0
尼日利亚,0
尼日尔,0
尼泊尔,0
巴勒斯坦,0
巴哈马,0
巴基斯坦,0
巴巴多斯,0
巴布亚新几内亚,0
巴拉圭,0
巴拿马,0
巴林,0
巴西,0
布基纳法索,0
布隆迪,0
希腊,0
帕劳,0
库克群岛,0
库拉索,0
开曼群岛,0
德国,0
意大利,0
所罗门群岛,0
拉脱维亚,0
挪威,0
捷克,0
摩尔多瓦,0
摩洛哥,0
摩纳哥,0
文莱,0
斐济,0
斯威士兰,0
斯洛伐克,0
斯洛文尼亚,0
斯里兰卡,0
新加坡,0
新喀里多尼亚,0
新西兰,0
日本,0
智利,0
朝鲜,0
柬埔寨,0
根西岛,0
格林纳达,0
格陵兰,0
格鲁吉亚,0
梵蒂冈,0
比利时,0
毛里塔尼亚,0
毛里求斯,0
汤加,0
沙特阿拉伯,0
法国,0
法属南部和南极领地,0
法属圣马丁,0
法属波利尼西亚,0
法罗群岛,0
波兰,0
波多黎各,0
波黑,0
泰国,0
泽西岛,0
津巴布韦,0
洪都拉斯,0
海地,0
澳大利亚,0
爱尔兰,0
爱沙尼亚,0
牙买加,0
特克斯和凯科斯群岛,0
特立尼达和多巴哥,0
玻利维亚,0
瑙鲁,0
瑞典,0
瑞士,0
瓦利斯和富图纳群岛,0
瓦努阿图,0
白俄罗斯,0
百慕大,0
皮特凯恩群岛,0
科威特,0
科摩罗,0
科特迪瓦,0
秘鲁,0
突尼斯,0
立陶宛,0
索马里,0
索马里兰,0
约旦,0
纳米比亚,0
纽埃,0
缅甸,0
罗马尼亚,0
美国,0
美国本土外小岛屿,0
美属维尔京群岛,0
美属萨摩亚,0
老挝,0
肯尼亚,0
芬兰,0
苏丹,0
苏里南,0
英国,0
英属印度洋领地,0
英属维尔京群岛,0
荷兰,0
荷属圣马丁,0
莫桑比克,0
莱索托,0
菲律宾,0
萨尔瓦多,0
萨摩亚,0
葡萄牙,0
蒙古,0
蒙特塞拉特,0
西撒哈拉,0
西班牙,0
诺福克岛,0
贝宁,0
赞比亚,0
赤道几内亚,0
赫德岛和麦克唐纳群岛,0
越南,0
锡亚琴冰川,0
阿什莫尔和卡捷群岛,0
阿塞拜疆,0
阿富汗,0
阿尔及利亚,0
阿尔巴尼亚,0
阿曼,0
阿根廷,0
阿联酋,0
阿鲁巴,0
韩国,0
马尔代夫,0
马尔维纳斯群岛（福克兰）,0
马恩岛,0
马拉维,0
马来西亚,0
马绍尔群岛,0
马耳他,0
马达加斯加,0
马里,0
黎巴嫩,0
黑山,0
